,epoch,loss,auc,val_loss,val_auc
0,1.0,0.7037675619125366,0.5327499999999998,0.6934981942176819,0.5040625
1,2.0,0.6864748418331146,0.5872499999999999,0.6938023418188095,0.505625
2,3.0,0.6913242280483246,0.555,0.6929346695542336,0.5146875
3,4.0,0.6902087152004241,0.5365,0.6927210241556168,0.519375
4,5.0,0.6849847495555877,0.59725,0.6928280517458916,0.5237499999999999
5,6.0,0.6789858520030976,0.63175,0.6916656643152237,0.544375
6,7.0,0.6802220582962036,0.6174999999999999,0.6917780339717865,0.545625
7,8.0,0.6776608824729919,0.628,0.6914774477481842,0.5478124999999999
8,9.0,0.6700297713279724,0.6814999999999999,0.6913575530052185,0.5518749999999999
9,10.0,0.6684690117835999,0.69575,0.6912365034222603,0.555
10,11.0,0.6628595411777496,0.7152499999999999,0.6909627392888069,0.5543750000000001
11,12.0,0.6685560047626495,0.6654999999999999,0.6907263323664665,0.5625
12,13.0,0.6536029815673828,0.75625,0.6904961690306664,0.5621875000000001
13,14.0,0.6522847592830658,0.7595,0.6902208104729652,0.564375
14,15.0,0.6457053303718567,0.79075,0.6900147795677185,0.5656249999999999
15,16.0,0.6421073496341705,0.78575,0.6892548203468323,0.5740624999999999
16,17.0,0.6387452781200409,0.7887500000000001,0.6885567381978035,0.5796874999999999
17,18.0,0.627312183380127,0.8309999999999998,0.6879491806030273,0.584375
18,19.0,0.6149315118789673,0.8475000000000001,0.6870688647031784,0.5903124999999999
19,20.0,0.6063294351100922,0.8574999999999999,0.6871763318777084,0.5753124999999999
20,21.0,0.590223753452301,0.884,0.6864916458725929,0.5759375
21,22.0,0.5889011263847351,0.8714999999999999,0.6861698180437088,0.5775
22,23.0,0.5733961403369904,0.8912500000000001,0.685635156929493,0.580625
23,24.0,0.5648965179920197,0.88925,0.6856126114726067,0.5825
24,25.0,0.5438665926456452,0.9169999999999998,0.6842135190963745,0.5821875000000001
25,26.0,0.5425315976142884,0.8995,0.6841257214546204,0.5862499999999999
26,27.0,0.5228433817625046,0.9374999999999998,0.6826218068599701,0.5909375
27,28.0,0.5095860928297042,0.93575,0.6813937723636627,0.5953125
28,29.0,0.4818598568439484,0.95175,0.679817296564579,0.5975
29,30.0,0.47455437779426574,0.95175,0.6803795918822289,0.6015625
30,31.0,0.4517770141363144,0.954,0.6788165494799614,0.601875
31,32.0,0.45940578281879424,0.9504999999999999,0.6768998876214027,0.6065625
32,33.0,0.4448199063539505,0.9749999999999999,0.6895552799105644,0.613125
33,34.0,0.5143497049808502,0.9752500000000002,0.7299031242728233,0.608125
34,35.0,0.4708081275224686,0.9697500000000001,0.6826770305633545,0.608125
35,36.0,0.39416242837905885,0.97725,0.6935510188341141,0.6165624999999999
36,37.0,0.39302502274513246,0.983,0.7915318384766579,0.6174999999999999
37,38.0,0.6013317167758941,0.98675,0.6780954375863075,0.6184375
38,39.0,0.5493746638298035,0.9727500000000001,0.776251994073391,0.6137500000000001
39,40.0,0.5085879504680634,0.9889999999999999,0.6828320473432541,0.6265625
40,41.0,0.43645008504390714,0.9907499999999999,0.6894713491201401,0.625625
41,42.0,0.319799417257309,0.99725,0.6693597733974457,0.634375
42,43.0,0.28803319334983823,0.9984999999999999,0.6785501316189766,0.6228125
43,44.0,0.2548602014780045,0.9995,0.699032798409462,0.6390625
44,45.0,0.5716294169425964,0.9970000000000001,0.9519447088241577,0.6371875
45,46.0,0.5350472331047058,0.9964999999999999,0.7676158249378204,0.6275
46,47.0,0.3102778375148773,0.9987499999999999,0.7678337469696999,0.610625
47,48.0,0.5337797820568084,0.99725,0.759789451956749,0.6268750000000001
48,49.0,0.44668854773044586,0.9995,0.6720946580171585,0.640625
49,50.0,0.22073488533496857,1.0,0.7575438022613525,0.6468749999999999
50,51.0,0.46769261360168457,1.0,1.0276080593466759,0.6434375
51,52.0,0.4274033010005951,0.999,0.8771539553999901,0.640625
52,53.0,0.21992128044366838,1.0,0.6708279624581337,0.6334375000000001
53,54.0,0.48667407035827637,0.9970000000000001,0.8180210366845131,0.625625
54,55.0,0.41060466766357423,1.0,0.6669684946537018,0.64
55,56.0,0.18363771289587022,1.0,0.7662333250045776,0.6493749999999999
56,57.0,0.32224258333444594,1.0,1.2469787374138832,0.6540625
57,58.0,0.506460590660572,0.9997499999999999,0.7523129805922508,0.6387499999999999
58,59.0,0.17668619453907014,0.99975,0.6782496497035027,0.6384375
59,60.0,0.17404487282037734,1.0,0.6792601570487022,0.6409375
60,61.0,0.123453900963068,1.0,0.722644716501236,0.6465624999999999
61,62.0,0.1131767064332962,1.0,0.7602648213505745,0.6496875
62,63.0,0.1062720350921154,1.0,0.7091794684529305,0.6471874999999999
63,64.0,0.09279691129922867,1.0,0.8213537633419037,0.651875
64,65.0,0.08336880095303059,1.0,0.7446861043572426,0.6509375
65,66.0,0.08283236138522625,1.0,0.7107501700520515,0.6487500000000002
66,67.0,0.09436707720160484,1.0,0.712804988026619,0.6540625
67,68.0,0.07129074558615685,1.0,0.8670938238501549,0.658125
68,69.0,0.0670948676764965,1.0,0.7891471311450005,0.6512500000000001
69,70.0,0.06997694857418538,1.0,0.8975636139512062,0.65375
70,71.0,0.05533477775752545,1.0,0.7559468522667885,0.6534375
71,72.0,0.05214950554072857,1.0,0.782393105328083,0.653125
72,73.0,0.048457564786076546,1.0,0.7876568362116814,0.654375
73,74.0,0.045999009162187576,1.0,0.776386484503746,0.651875
74,75.0,0.044906068965792655,1.0,0.7589114755392075,0.6524999999999999
75,76.0,0.03901750147342682,1.0,0.8206718415021896,0.6515624999999999
